"一级","专业名","专业id","专业编码","别名"
通信类,网络规划与优化技术,100606,"0/100599/100606","网络规划与优化技术,Network planning and optimization technology"
通信类,现代通信技术应用,100607,"0/100599/100607","现代通信技术应用,Modern communication technology applications"
通信类,通信系统工程安装与维护,100608,"0/100599/100608","通信系统工程安装与维护,Communication system engineering installation and maintenance"
通信类,通信运营服务,100609,"0/100599/100609","通信运营服务,Communications operation services"
通信类,现代通信工程,100610,"0/100599/100610","现代通信工程,Modern Communication Engineering"
兵器类,武器系统与工程,100612,"0/100611/100612","武器系统与工程,Weapon Systems and Engineering"
兵器类,武器发射工程,100613,"0/100611/100613","武器发射工程,Weapon launch engineering"
兵器类,探测制导与控制技术,100614,"0/100611/100614","探测制导与控制技术,Detection, guidance and control technology"
兵器类,弹药工程与爆炸技术,100615,"0/100611/100615","弹药工程与爆炸技术,Ammunition Engineering and Explosive Technology"
兵器类,特种能源技术与工程,100616,"0/100611/100616","特种能源技术与工程,Special Energy Technology and Engineering"
兵器类,装甲车辆工程,100617,"0/100611/100617","装甲车辆工程,Armored Vehicle Engineering"
兵器类,信息对抗技术,100618,"0/100611/100618","信息对抗技术,Information Countermeasures Technology"
兵器类,智能无人系统技术,100619,"0/100611/100619","智能无人系统技术,Intelligent unmanned system technology"
风景园林学,风景园林学,100621,"0/100620/100621","风景园林学,Landscape Architecture"
药学类,药学,100623,"0/100622/100623","药学,Pharmacy"
药学类,药物制剂,100624,"0/100622/100624","药物制剂,Pharmaceutical preparations"
药学类,临床药学,100625,"0/100622/100625","临床药学,Clinical Pharmacy"
药学类,药事管理,100626,"0/100622/100626","药事管理,Pharmaceutical Management"
药学类,药物分析,100627,"0/100622/100627","药物分析,Drug Analysis"
药学类,药物化学,100628,"0/100622/100628","药物化学,Medicinal Chemistry"
药学类,海洋药学,100629,"0/100622/100629","海洋药学,Marine Pharmacy"
药学类,化妆品科学与技术,100630,"0/100622/100630","化妆品科学与技术,Cosmetic Science and Technology"
药学类,药剂,100631,"0/100622/100631","药剂,Pharmacy"
畜牧业类,动物医学,100633,"0/100632/100633","动物医学,Veterinary Medicine"
畜牧业类,动物药学,100634,"0/100632/100634","动物药学,Animal Pharmacy"
畜牧业类,畜牧兽医,100635,"0/100632/100635","畜牧兽医,Animal Husbandry and Veterinary Medicine"
畜牧业类,中兽医,100636,"0/100632/100636","中兽医,Chinese Veterinary Medicine"
畜牧业类,宠物医疗技术,100637,"0/100632/100637","宠物医疗技术,Pet Medical Technology"
畜牧业类,动物防疫与检疫,100638,"0/100632/100638","动物防疫与检疫,Animal disease prevention and quarantine"
畜牧业类,畜禽智能化养殖,100639,"0/100632/100639","畜禽智能化养殖,Intelligent livestock and poultry farming"
畜牧业类,特种动物养殖技术,100640,"0/100632/100640","特种动物养殖技术,Special animal breeding technology"
畜牧业类,宠物养护与驯导,100641,"0/100632/100641","宠物养护与驯导,Pet care and training"
畜牧业类,动物营养与饲料,100642,"0/100632/100642","动物营养与饲料,Animal Nutrition and Feed"
畜牧业类,蚕桑技术,100643,"0/100632/100643","蚕桑技术,Sericulture Technology"
畜牧业类,畜禽生产技术,100644,"0/100632/100644","畜禽生产技术,Livestock and Poultry Production Technology"
畜牧业类,特种动物养殖,100645,"0/100632/100645","特种动物养殖,Special animal breeding"
畜牧业类,宠物养护与经营,100646,"0/100632/100646","宠物养护与经营,Pet care and management"
畜牧业类,蚕桑生产与经营,100647,"0/100632/100647","蚕桑生产与经营,Sericulture production and management"
畜牧业类,宠物医疗,100648,"0/100632/100648","宠物医疗,Veterinary Medical Care"
畜牧业类,现代畜牧,100649,"0/100632/100649","现代畜牧,Modern Animal Husbandry"
土建施工类,装配式建筑工程技术,100651,"0/100650/100651","装配式建筑工程技术,Prefabricated building engineering technology"
土建施工类,智能建造技术,100652,"0/100650/100652","智能建造技术,Smart construction technology"
土建施工类,地下与隧道工程技术,100653,"0/100650/100653","地下与隧道工程技术,Underground and Tunnel Engineering Technology"
土建施工类,建筑工程施工,100654,"0/100650/100654","建筑工程施工,Construction Engineering"
土建施工类,装配式建筑施工,100655,"0/100650/100655","装配式建筑施工,Prefabricated building construction"
土建施工类,建筑工程检测,100656,"0/100650/100656","建筑工程检测,Construction Engineering Inspection"
土建施工类,建筑工程,100657,"0/100650/100657","建筑工程,Construction Engineering"
土建施工类,智能建造工程,100658,"0/100650/100658","智能建造工程,Smart construction engineering"
土建施工类,城市地下工程,100659,"0/100650/100659","城市地下工程,Urban underground engineering"
土建施工类,建筑智能检测与修复,100660,"0/100650/100660","建筑智能检测与修复,Intelligent building inspection and repair"
药品与医疗器械类,药品生产技术,100662,"0/100661/100662","药品生产技术,Pharmaceutical production technology"
药品与医疗器械类,生物制药技术,100663,"0/100661/100663","生物制药技术,Biopharmaceutical Technology"
药品与医疗器械类,药物制剂技术,100664,"0/100661/100664","药物制剂技术,Pharmaceutical preparation technology"
药品与医疗器械类,化学制药技术,100665,"0/100661/100665","化学制药技术,Chemical Pharmaceutical Technology"
药品与医疗器械类,兽药制药技术,100666,"0/100661/100666","兽药制药技术,Veterinary Pharmaceutical Technology"
药品与医疗器械类,药品质量与安全,100667,"0/100661/100667","药品质量与安全,Drug Quality and Safety"
药品与医疗器械类,制药设备应用技术,100668,"0/100661/100668","制药设备应用技术,Pharmaceutical Equipment Application Technology"
药品与医疗器械类,药品经营与管理,100669,"0/100661/100669","药品经营与管理,Drug operation and management"
药品与医疗器械类,食品药品监督管理,100670,"0/100661/100670","食品药品监督管理,Food and Drug Administration"
药品与医疗器械类,智能医疗装备技术,100671,"0/100661/100671","智能医疗装备技术,Intelligent medical equipment technology"
药品与医疗器械类,医用电子仪器技术,100672,"0/100661/100672","医用电子仪器技术,Medical electronic equipment technology"
药品与医疗器械类,医用材料与应用,100673,"0/100661/100673","医用材料与应用,Medical Materials and Applications"
药品与医疗器械类,医疗器械维护与管理,100674,"0/100661/100674","医疗器械维护与管理,Medical equipment maintenance and management"
药品与医疗器械类,医疗器械经营与服务,100675,"0/100661/100675","医疗器械经营与服务,Medical device operation and service"
药品与医疗器械类,康复工程技术,100676,"0/100661/100676","康复工程技术,Rehabilitation Engineering Technology"
药品与医疗器械类,保健食品质量与管理,100677,"0/100661/100677","保健食品质量与管理,Health food quality and management"
药品与医疗器械类,化妆品经营与管理,100678,"0/100661/100678","化妆品经营与管理,Cosmetics business and management"
药品与医疗器械类,化妆品质量与安全,100679,"0/100661/100679","化妆品质量与安全,Cosmetics Quality and Safety"
药品与医疗器械类,制药技术应用,100680,"0/100661/100680","制药技术应用,Pharmaceutical Technology Applications"
药品与医疗器械类,生物制药工艺,100681,"0/100661/100681","生物制药工艺,Biopharmaceutical Process"
药品与医疗器械类,生物药物检验,100682,"0/100661/100682","生物药物检验,Biological drug testing"
药品与医疗器械类,药品食品检验,100683,"0/100661/100683","药品食品检验,Drug and food inspection"
药品与医疗器械类,制药设备维修,100684,"0/100661/100684","制药设备维修,Pharmaceutical Equipment Maintenance"
药品与医疗器械类,医疗设备安装与维护,100685,"0/100661/100685","医疗设备安装与维护,Medical equipment installation and maintenance"
药品与医疗器械类,医疗器械维修与营销,100686,"0/100661/100686","医疗器械维修与营销,Medical equipment maintenance and marketing"
药品与医疗器械类,制药工程技术,100687,"0/100661/100687","制药工程技术,Pharmaceutical Engineering Technology"
药品与医疗器械类,药品质量管理,100688,"0/100661/100688","药品质量管理,Drug Quality Management"
药品与医疗器械类,医疗器械工程技术,100689,"0/100661/100689","医疗器械工程技术,Medical Device Engineering Technology"
药品与医疗器械类,药事服务与管理,100690,"0/100661/100690","药事服务与管理,Pharmaceutical services and management"
测绘类,测绘工程,100692,"0/100691/100692","测绘工程,Surveying and Mapping Engineering"
测绘类,遥感科学与技术,100693,"0/100691/100693","遥感科学与技术,Remote Sensing Science and Technology"
测绘类,导航工程,100694,"0/100691/100694","导航工程,Navigation Engineering"
测绘类,地理国情监测,100695,"0/100691/100695","地理国情监测,Geographical conditions monitoring"
测绘类,地理空间信息工程,100696,"0/100691/100696","地理空间信息工程,Geospatial Information Engineering"
林业工程类,森林工程,100698,"0/100697/100698","森林工程,Forest Engineering"
林业工程类,木材科学与工程,100699,"0/100697/100699","木材科学与工程,Wood Science and Engineering"
林业工程类,林产化工,100700,"0/100697/100700","林产化工,Forest Chemicals"
林业工程类,家具设计与工程,100701,"0/100697/100701","家具设计与工程,Furniture Design and Engineering"
林业工程类,木结构建筑与材料,100702,"0/100697/100702","木结构建筑与材料,Wood structure buildings and materials"
林业工程类,林业工程,100703,"0/100697/100703","林业工程,Forestry Engineering"
音乐与舞蹈学类,音乐表演,100705,"0/100704/100705","音乐表演,Music Performance"
音乐与舞蹈学类,音乐学,100706,"0/100704/100706","音乐学,Musicology"
音乐与舞蹈学类,作曲与作曲技术理论,100707,"0/100704/100707","作曲与作曲技术理论,Composition and Composition Technique Theory"
音乐与舞蹈学类,舞蹈表演,100708,"0/100704/100708","舞蹈表演,Dance performance"
音乐与舞蹈学类,舞蹈学,100709,"0/100704/100709","舞蹈学,Dance"
音乐与舞蹈学类,舞蹈编导,100710,"0/100704/100710","舞蹈编导,Dance Director"
音乐与舞蹈学类,舞蹈教育,100711,"0/100704/100711","舞蹈教育,Dance Education"
音乐与舞蹈学类,航空服务艺术与管理,100712,"0/100704/100712","航空服务艺术与管理,Airline Service Art and Management"
音乐与舞蹈学类,流行音乐,100713,"0/100704/100713","流行音乐,Pop Music"
音乐与舞蹈学类,音乐治疗,100714,"0/100704/100714","音乐治疗,Music Therapy"
音乐与舞蹈学类,流行舞蹈,100715,"0/100704/100715","流行舞蹈,Popular dance"
音乐与舞蹈学类,音乐教育,100716,"0/100704/100716","音乐教育,Music Education"
音乐与舞蹈学类,音乐与舞蹈学,100717,"0/100704/100717","音乐与舞蹈学,Music and Dance"
生物学类,生物学,100719,"0/100718/100719","生物学,biology"
轨道装备类,铁道机车车辆制造与维护,100721,"0/100720/100721","铁道机车车辆制造与维护,Railway locomotive and vehicle manufacturing and maintenance"
轨道装备类,高速铁路动车组制造与维护,100722,"0/100720/100722","高速铁路动车组制造与维护,High-speed railway EMU manufacturing and maintenance"
轨道装备类,城市轨道交通车辆制造与维护,100723,"0/100720/100723","城市轨道交通车辆制造与维护,Urban rail transit vehicle manufacturing and maintenance"
轨道装备类,轨道交通通信信号设备制造与维护,100724,"0/100720/100724","轨道交通通信信号设备制造与维护,Manufacturing and maintenance of rail transit communication and signal equipment"
轨道装备类,轨道交通工程机械制造与维护,100725,"0/100720/100725","轨道交通工程机械制造与维护,Rail transit engineering machinery manufacturing and maintenance"
轨道装备类,轨道交通车辆工程技术,100726,"0/100720/100726","轨道交通车辆工程技术,Rail Transit Vehicle Engineering Technology"
轨道装备类,轨道交通智能控制装备技术,100727,"0/100720/100727","轨道交通智能控制装备技术,Rail transit intelligent control equipment technology"
艺术设计类,视觉传达设计,100729,"0/100728/100729","视觉传达设计,Visual Communication Design"
艺术设计类,数字媒体艺术设计,100730,"0/100728/100730","数字媒体艺术设计,Digital Media Art Design"
艺术设计类,产品艺术设计,100731,"0/100728/100731","产品艺术设计,Product Art Design"
艺术设计类,服装与服饰设计,100732,"0/100728/100732","服装与服饰设计,Clothing and Apparel Design"
艺术设计类,环境艺术设计,100733,"0/100728/100733","环境艺术设计,Environmental Art Design"
艺术设计类,书画艺术,100734,"0/100728/100734","书画艺术,Calligraphy and Painting"
艺术设计类,公共艺术设计,100735,"0/100728/100735","公共艺术设计,Public Art Design"
艺术设计类,游戏艺术设计,100736,"0/100728/100736","游戏艺术设计,Game Art Design"
艺术设计类,展示艺术设计,100737,"0/100728/100737","展示艺术设计,Exhibition art design"
艺术设计类,美容美体艺术,100738,"0/100728/100738","美容美体艺术,Beauty and Body Art"
艺术设计类,工艺美术品设计,100739,"0/100728/100739","工艺美术品设计,Arts and Crafts Design"
艺术设计类,广告艺术设计,100740,"0/100728/100740","广告艺术设计,Advertising Art Design"
艺术设计类,室内艺术设计,100741,"0/100728/100741","室内艺术设计,Interior art design"
艺术设计类,家具艺术设计,100742,"0/100728/100742","家具艺术设计,Furniture Art Design"
艺术设计类,动漫设计,100743,"0/100728/100743","动漫设计,Anime Design"
艺术设计类,雕刻艺术设计,100744,"0/100728/100744","雕刻艺术设计,Sculpture Art Design"
艺术设计类,皮具艺术设计,100745,"0/100728/100745","皮具艺术设计,Leather art design"
艺术设计类,包装艺术设计,100746,"0/100728/100746","包装艺术设计,Packaging art design"
艺术设计类,陶瓷设计与工艺,100747,"0/100728/100747","陶瓷设计与工艺,Ceramic Design and Technology"
艺术设计类,首饰设计与工艺,100748,"0/100728/100748","首饰设计与工艺,Jewelry Design and Craftsmanship"
艺术设计类,玉器设计与工艺,100749,"0/100728/100749","玉器设计与工艺,Jade Design and Craftsmanship"
艺术设计类,刺绣设计与工艺,100750,"0/100728/100750","刺绣设计与工艺,Embroidery Design and Crafts"
艺术设计类,雕塑设计,100751,"0/100728/100751","雕塑设计,Sculpture Design"
艺术设计类,服装陈列与展示设计,100752,"0/100728/100752","服装陈列与展示设计,Clothing display and exhibition design"
艺术设计类,艺术设计与制作,100753,"0/100728/100753","艺术设计与制作,Art Design and Production"
艺术设计类,界面设计与制作,100754,"0/100728/100754","界面设计与制作,Interface design and production"
艺术设计类,数字影像技术,100755,"0/100728/100755","数字影像技术,Digital imaging technology"
艺术设计类,皮革制品设计与制作,100756,"0/100728/100756","皮革制品设计与制作,Leather product design and production"
艺术设计类,工艺美术,100757,"0/100728/100757","工艺美术,Arts and Crafts"
艺术设计类,绘画,100758,"0/100728/100758","绘画,painting"
艺术设计类,首饰设计与制作,100759,"0/100728/100759","首饰设计与制作,Jewelry Design and Production"
艺术设计类,动漫与游戏设计,100760,"0/100728/100760","动漫与游戏设计,Animation and Game Design"
艺术设计类,美发与形象设计,100761,"0/100728/100761","美发与形象设计,Hairdressing and image design"
艺术设计类,工艺品设计与制作,100762,"0/100728/100762","工艺品设计与制作,Handicraft design and production"
艺术设计类,数字媒体艺术,100763,"0/100728/100763","数字媒体艺术,Digital Media Art"
艺术设计类,产品设计,100764,"0/100728/100764","产品设计,Product Design"
艺术设计类,游戏创意设计,100765,"0/100728/100765","游戏创意设计,Game creative design"
艺术设计类,数字影像设计,100766,"0/100728/100766","数字影像设计,Digital Image Design"
艺术设计类,时尚品设计,100767,"0/100728/100767","时尚品设计,Fashion design"
电子信息类,电子信息工程,100769,"0/100768/100769","电子信息工程,Electronic Information Engineering"
电子信息类,电子科学与技术,100770,"0/100768/100770","电子科学与技术,Electronic Science and Technology"
电子信息类,通信工程,100771,"0/100768/100771","通信工程,Communications Engineering"
电子信息类,微电子科学与工程,100772,"0/100768/100772","微电子科学与工程,Microelectronics Science and Engineering"
电子信息类,光电信息科学与工程,100773,"0/100768/100773","光电信息科学与工程,Optoelectronic Information Science and Engineering"
电子信息类,信息工程,100774,"0/100768/100774","信息工程,Information Engineering"
电子信息类,广播电视工程,100775,"0/100768/100775","广播电视工程,Radio and Television Engineering"
电子信息类,水声工程,100776,"0/100768/100776","水声工程,Hydroacoustic Engineering"
电子信息类,电子封装技术,100777,"0/100768/100777","电子封装技术,Electronic packaging technology"
电子信息类,集成电路设计与集成系统,100778,"0/100768/100778","集成电路设计与集成系统,Integrated Circuit Design and Integrated Systems"
电子信息类,医学信息工程,100779,"0/100768/100779","医学信息工程,Medical Information Engineering"
电子信息类,电磁场与无线技术,100780,"0/100768/100780","电磁场与无线技术,Electromagnetic fields and wireless technology"
电子信息类,电波传播与天线,100781,"0/100768/100781","电波传播与天线,Radio wave propagation and antennas"
电子信息类,电子信息科学与技术,100782,"0/100768/100782","电子信息科学与技术,Electronic Information Science and Technology"
电子信息类,电信工程及管理,100783,"0/100768/100783","电信工程及管理,Telecommunications Engineering and Management"
电子信息类,应用电子技术教育,100784,"0/100768/100784","应用电子技术教育,Applied Electronics Technology Education"
电子信息类,人工智能,100785,"0/100768/100785","人工智能,AI"
电子信息类,海洋信息工程,100786,"0/100768/100786","海洋信息工程,Marine Information Engineering"
电子信息类,柔性电子学,100787,"0/100768/100787","柔性电子学,Flexible Electronics"
电子信息类,智能测控工程,100788,"0/100768/100788","智能测控工程,Intelligent measurement and control engineering"
电子信息类,物联网应用技术,100789,"0/100768/100789","物联网应用技术,Internet of Things Application Technology"
电子信息类,电子产品制造技术,100790,"0/100768/100790","电子产品制造技术,Electronic product manufacturing technology"
电子信息类,电子产品检测技术,100791,"0/100768/100791","电子产品检测技术,Electronic product testing technology"
电子信息类,移动互联应用技术,100792,"0/100768/100792","移动互联应用技术,Mobile Internet Application Technology"
电子信息类,智能产品开发与应用,100793,"0/100768/100793","智能产品开发与应用,Intelligent product development and application"
电子信息类,智能光电技术应用,100794,"0/100768/100794","智能光电技术应用,Intelligent optoelectronic technology application"
电子信息类,光电显示技术,100795,"0/100768/100795","光电显示技术,Optoelectronic display technology"
电子信息类,电子信息技术,100796,"0/100768/100796","电子信息技术,Electronic Information Technology"
电子信息类,物联网技术应用,100797,"0/100768/100797","物联网技术应用,IoT Technology Application"
电子信息类,电子技术应用,100798,"0/100768/100798","电子技术应用,Electronic technology applications"
电子信息类,电子材料与元器件制造,100799,"0/100768/100799","电子材料与元器件制造,Electronic materials and components manufacturing"
电子信息类,电子电器应用与维修,100800,"0/100768/100800","电子电器应用与维修,Electronic and electrical appliance application and maintenance"
电子信息类,服务机器人装配与维护,100801,"0/100768/100801","服务机器人装配与维护,Service robot assembly and maintenance"
电子信息类,物联网工程技术,100802,"0/100768/100802","物联网工程技术,Internet of Things Engineering Technology"
电子信息类,柔性电子技术,100803,"0/100768/100803","柔性电子技术,Flexible Electronics Technology"
电子信息类,光电信息工程技术,100804,"0/100768/100804","光电信息工程技术,Optoelectronic Information Engineering Technology"
司法技术类,戒毒矫治技术,100806,"0/100805/100806","戒毒矫治技术,Drug rehabilitation technology"
司法技术类,智慧司法技术与应用,100807,"0/100805/100807","智慧司法技术与应用,Smart Judicial Technology and Application"
物理学类,物理学,100809,"0/100808/100809","物理学,physics"
物理学类,应用物理学,100810,"0/100808/100810","应用物理学,Applied Physics"
物理学类,核物理,100811,"0/100808/100811","核物理,Nuclear Physics"
物理学类,声学,100812,"0/100808/100812","声学,acoustics"
物理学类,系统科学与工程,100813,"0/100808/100813","系统科学与工程,Systems Science and Engineering"
物理学类,量子信息科学,100814,"0/100808/100814","量子信息科学,Quantum Information Science"
公安技术类,刑事科学技术,100816,"0/100815/100816","刑事科学技术,Criminal Science and Technology"
公安技术类,消防工程,100817,"0/100815/100817","消防工程,Fire Engineering"
公安技术类,交通管理工程,100818,"0/100815/100818","交通管理工程,Traffic Management Engineering"
公安技术类,安全防范工程,100819,"0/100815/100819","安全防范工程,Security Engineering"
公安技术类,公安视听技术,100820,"0/100815/100820","公安视听技术,Public Security Audiovisual Technology"
公安技术类,抢险救援指挥与技术,100821,"0/100815/100821","抢险救援指挥与技术,Emergency rescue command and technology"
公安技术类,火灾勘查,100822,"0/100815/100822","火灾勘查,Fire Investigation"
公安技术类,网络安全与执法,100823,"0/100815/100823","网络安全与执法,Cybersecurity and law enforcement"
公安技术类,核生化消防,100824,"0/100815/100824","核生化消防,Nuclear, biological and chemical firefighting"
公安技术类,海警舰艇指挥与技术,100825,"0/100815/100825","海警舰艇指挥与技术,Coast Guard Ship Command and Technology"
公安技术类,数据警务技术,100826,"0/100815/100826","数据警务技术,Data policing technology"
公安技术类,食品药品环境犯罪侦查技术,100827,"0/100815/100827","食品药品环境犯罪侦查技术,Food, Drug and Environmental Crime Investigation Technology"
电子科学与技术类,电子科学与技术,100829,"0/100828/100829","电子科学与技术,Electronic Science and Technology"
动力工程及工程热物理类,动力工程及工程热物理,100831,"0/100830/100831","动力工程及工程热物理,Power Engineering and Engineering Thermophysics"
交通运输工程类,交通运输工程,100833,"0/100832/100833","交通运输工程,Transportation Engineering"
冶金工程类,冶金工程,100835,"0/100834/100835","冶金工程,Metallurgical Engineering"
民族学类,民族学,100837,"0/100836/100837","民族学,Ethnology"
基础医学类,基础医学,100839,"0/100838/100839","基础医学,Basic Medicine"
基础医学类,生物医学,100840,"0/100838/100840","生物医学,Biomedical Science"
基础医学类,生物医学科学,100841,"0/100838/100841","生物医学科学,Biomedical Sciences"
汽车制造类,汽车制造与试验技术,100843,"0/100842/100843","汽车制造与试验技术,Automobile manufacturing and testing technology"
汽车制造类,新能源汽车技术,100844,"0/100842/100844","新能源汽车技术,New Energy Vehicle Technology"
汽车制造类,汽车电子技术,100845,"0/100842/100845","汽车电子技术,Automotive Electronics Technology"
汽车制造类,智能网联汽车技术,100846,"0/100842/100846","智能网联汽车技术,Intelligent Connected Vehicle Technology"
汽车制造类,汽车造型与改装技术,100847,"0/100842/100847","汽车造型与改装技术,Car styling and modification technology"
汽车制造类,汽车制造与检测,100848,"0/100842/100848","汽车制造与检测,Automobile manufacturing and testing"
汽车制造类,新能源汽车制造与检测,100849,"0/100842/100849","新能源汽车制造与检测,New energy vehicle manufacturing and testing"
汽车制造类,汽车电子技术应用,100850,"0/100842/100850","汽车电子技术应用,Automotive Electronics Technology Application"
汽车制造类,汽车工程技术,100851,"0/100842/100851","汽车工程技术,Automotive Engineering Technology"
汽车制造类,新能源汽车工程技术,100852,"0/100842/100852","新能源汽车工程技术,New Energy Vehicle Engineering Technology"
汽车制造类,智能网联汽车工程技术,100853,"0/100842/100853","智能网联汽车工程技术,Intelligent Connected Vehicle Engineering Technology"
建筑学类,建筑学,100855,"0/100854/100855","建筑学,architecture"
教育类,小学语文教育,100857,"0/100856/100857","小学语文教育,Primary school language education"
教育类,小学数学教育,100858,"0/100856/100858","小学数学教育,Primary School Mathematics Education"
教育类,小学英语教育,100859,"0/100856/100859","小学英语教育,Primary School English Education"
教育类,小学科学教育,100860,"0/100856/100860","小学科学教育,Primary School Science Education"
教育类,小学道德与法治教育,100861,"0/100856/100861","小学道德与法治教育,Primary school moral and legal education"
教育类,心理健康教育,100862,"0/100856/100862","心理健康教育,Mental health education"
教育类,幼儿保育,100863,"0/100856/100863","幼儿保育,Child Care"
考古学,考古学,100865,"0/100864/100865","考古学,archeology"
电气工程类,电气工程,100867,"0/100866/100867","电气工程,Electrical Engineering"
食品类,食品智能加工技术,100869,"0/100868/100869","食品智能加工技术,Intelligent food processing technology"
食品类,食品营养与健康,100870,"0/100868/100870","食品营养与健康,Food nutrition and health"
食品类,食品检验检测技术,100871,"0/100868/100871","食品检验检测技术,Food Inspection and Testing Technology"
食品类,食品加工工艺,100872,"0/100868/100872","食品加工工艺,Food processing technology"
食品类,酿酒工艺与技术,100873,"0/100868/100873","酿酒工艺与技术,Winemaking technology and techniques"
食品类,民族食品加工技术,100874,"0/100868/100874","民族食品加工技术,Ethnic food processing technology"
食品类,食品安全与检测技术,100875,"0/100868/100875","食品安全与检测技术,Food safety and testing technology"
食品类,食品工程技术,100876,"0/100868/100876","食品工程技术,Food Engineering Technology"
畜牧学类,畜牧学,100878,"0/100877/100878","畜牧学,Animal Husbandry"
中国史,中国史,100880,"0/100879/100880","中国史,Chinese History"
公共管理类,公共事业管理,100882,"0/100881/100882","公共事业管理,Public Utilities Management"
公共管理类,行政管理,100883,"0/100881/100883","行政管理,Administration"
公共管理类,劳动与社会保障,100884,"0/100881/100884","劳动与社会保障,Labor and Social Security"
公共管理类,土地资源管理,100885,"0/100881/100885","土地资源管理,Land Resource Management"
公共管理类,城市管理,100886,"0/100881/100886","城市管理,Urban Management"
公共管理类,海关管理,100887,"0/100881/100887","海关管理,Customs management"
公共管理类,交通管理,100888,"0/100881/100888","交通管理,Traffic Management"
公共管理类,海事管理,100889,"0/100881/100889","海事管理,Maritime Management"
公共管理类,公共关系学,100890,"0/100881/100890","公共关系学,Public Relations"
公共管理类,健康服务与管理,100891,"0/100881/100891","健康服务与管理,Health Services and Management"
公共管理类,海警后勤管理,100892,"0/100881/100892","海警后勤管理,Coast Guard Logistics Management"
公共管理类,医疗产品管理,100893,"0/100881/100893","医疗产品管理,Medical product management"
公共管理类,医疗保险,100894,"0/100881/100894","医疗保险,Medical Insurance"
公共管理类,养老服务管理,100895,"0/100881/100895","养老服务管理,Elderly care service management"
公共管理类,海关检验检疫安全,100896,"0/100881/100896","海关检验检疫安全,Customs Inspection and Quarantine Safety"
公共管理类,海外安全管理,100897,"0/100881/100897","海外安全管理,Overseas safety management"
公共管理类,自然资源登记与管理,100898,"0/100881/100898","自然资源登记与管理,Natural resource registration and management"
公共管理类,慈善管理,100899,"0/100881/100899","慈善管理,Charity Management"
公共管理类,民政服务与管理,100900,"0/100881/100900","民政服务与管理,Civil Service and Management"
公共管理类,网络舆情监测,100901,"0/100881/100901","网络舆情监测,Online public opinion monitoring"
公共管理类,质量管理与认证,100902,"0/100881/100902","质量管理与认证,Quality Management and Certification"
公共管理类,知识产权管理,100903,"0/100881/100903","知识产权管理,Intellectual Property Management"
公共管理类,职业指导与服务,100904,"0/100881/100904","职业指导与服务,Career guidance and services"
公共管理类,标准化技术,100905,"0/100881/100905","标准化技术,Standardized technology"
公共管理类,民政服务,100906,"0/100881/100906","民政服务,Civil Affairs Services"
公共管理类,人力资源管理事务,100907,"0/100881/100907","人力资源管理事务,Human Resources Management Affairs"
公共管理类,社会保障事务,100908,"0/100881/100908","社会保障事务,Social Security Affairs"
公共管理类,工商行政管理事务,100909,"0/100881/100909","工商行政管理事务,Industrial and commercial administration affairs"
公共管理类,产品质量监督检验,100910,"0/100881/100910","产品质量监督检验,Product quality supervision and inspection"
公共管理类,外事实务,100911,"0/100881/100911","外事实务,Foreign Affairs"
公共管理类,公共管理,100912,"0/100881/100912","公共管理,Public Administration"
旅游管理类,旅游管理,100914,"0/100913/100914","旅游管理,Tourism Management"
旅游管理类,酒店管理,100915,"0/100913/100915","酒店管理,Hotel Management,Hospitality Management"
旅游管理类,会展经济与管理,100916,"0/100913/100916","会展经济与管理,Exhibition Economy and Management"
旅游管理类,旅游管理与服务教育,100917,"0/100913/100917","旅游管理与服务教育,Tourism Management and Service Education"
纺织服装类,服装设计与工艺,100919,"0/100918/100919","服装设计与工艺,Fashion Design and Technology"
纺织服装类,数字化染整技术,100920,"0/100918/100920","数字化染整技术,Digital dyeing and finishing technology"
纺织服装类,现代家用纺织品设计,100921,"0/100918/100921","现代家用纺织品设计,Modern home textile design"
纺织服装类,纺织材料与应用,100922,"0/100918/100922","纺织材料与应用,Textile Materials and Applications"
纺织服装类,现代非织造技术,100923,"0/100918/100923","现代非织造技术,Modern nonwoven technology"
纺织服装类,纺织机电技术,100924,"0/100918/100924","纺织机电技术,Textile electromechanical technology"
纺织服装类,皮革服装制作与工艺,100925,"0/100918/100925","皮革服装制作与工艺,Leather clothing production and technology"
纺织服装类,纺织技术与服务,100926,"0/100918/100926","纺织技术与服务,Textile Technology and Services"
纺织服装类,丝绸工艺,100927,"0/100918/100927","丝绸工艺,Silk Craft"
纺织服装类,针织工艺,100928,"0/100918/100928","针织工艺,Knitting technology"
纺织服装类,数字化染整工艺,100929,"0/100918/100929","数字化染整工艺,Digital dyeing and finishing process"
纺织服装类,服装制作与生产管理,100930,"0/100918/100930","服装制作与生产管理,Garment making and production management"
纺织服装类,现代纺织工程技术,100931,"0/100918/100931","现代纺织工程技术,Modern Textile Engineering Technology"
纺织服装类,服装工程技术,100932,"0/100918/100932","服装工程技术,Clothing Engineering Technology"
建筑类,建筑学,100934,"0/100933/100934","建筑学,architecture"
建筑类,城乡规划,100935,"0/100933/100935","城乡规划,Urban and rural planning"
建筑类,风景园林,100936,"0/100933/100936","风景园林,Landscape Architecture"
建筑类,历史建筑保护工程,100937,"0/100933/100937","历史建筑保护工程,Historic building protection project"
建筑类,人居环境科学与技术,100938,"0/100933/100938","人居环境科学与技术,Human Settlement Environment Science and Technology"
