一级,二级,技能名,技能id,技能编码,别名
数据通信工程师,通信工作方向,传输线路设计,103602,0/103598/103599/103602,"传输线路设计,Transmission line design"
数据通信工程师,通信工作方向,天线设计,103603,0/103598/103599/103603,"天线设计,Antenna Design"
数据通信工程师,通信工作方向,4G,103604,0/103598/103599/103604,4G
数据通信工程师,通信工作内容,网络维护,103606,0/103598/103605/103606,"网络维护,Network maintenance"
数据通信工程师,通信工作内容,故障处理,103607,0/103598/103605/103607,"故障处理,Troubleshooting"
数据通信工程师,通信工作内容,固网接入网,103608,0/103598/103605/103608,"固网接入网,Fixed access network"
数据通信工程师,通信工作内容,防火墙配置,103609,0/103598/103605/103609,"防火墙配置,Firewall Configuration"
数据通信工程师,通信工作内容,路由器配置,103610,0/103598/103605/103610,"路由器配置,Router Configuration"
数据通信工程师,通信工作内容,信令分析,103611,0/103598/103605/103611,"信令分析,Signaling analysis"
数据通信工程师,通信工作内容,宽带装维,103612,0/103598/103605/103612,"宽带装维,Broadband installation and maintenance"
通信测试工程师,计算机语言方向,Python,103625,0/103623/103624/103625,Python
通信测试工程师,计算机语言方向,Ruby,103626,0/103623/103624/103626,Ruby
通信测试工程师,计算机语言方向,TCL,103627,0/103623/103624/103627,TCL
通信测试工程师,测试方向,系统测试,103629,0/103623/103628/103629,"系统测试,System Testing"
通信测试工程师,测试方向,Android测试,103630,0/103623/103628/103630,"Android测试,Android Testing"
通信测试工程师,测试方向,整机测试,103631,0/103623/103628/103631,"整机测试,Whole Machine test"
通信测试工程师,通信工作方向,5G,103633,0/103623/103632/103633,5G
通信测试工程师,通信工作方向,室分设计,103634,0/103623/103632/103634,"室分设计,Room design"
通信测试工程师,通信工作方向,数据通信,103635,0/103623/103632/103635,"数据通信,Data Communications"
通信测试工程师,通信工作方向,传输线路设计,103636,0/103623/103632/103636,"传输线路设计,Transmission line design"
通信测试工程师,通信工作方向,4G,103637,0/103623/103632/103637,4G
通信测试工程师,通信工作内容,网络维护,103639,0/103623/103638/103639,"网络维护,Network maintenance"
通信测试工程师,通信工作内容,故障处理,103640,0/103623/103638/103640,"故障处理,Troubleshooting"
通信测试工程师,通信工作内容,单板测试,103641,0/103623/103638/103641,"单板测试,Single board test"
通信测试工程师,通信工作内容,信令分析,103642,0/103623/103638/103642,"信令分析,Signaling analysis"
通信测试工程师,通信工作内容,宽带装维,103643,0/103623/103638/103643,"宽带装维,Broadband installation and maintenance"
光通信工程师,通信工作方向,5G,103646,0/103644/103645/103646,5G
光通信工程师,通信工作方向,室分设计,103647,0/103644/103645/103647,"室分设计,Room design"
光通信工程师,通信工作方向,光传输,103648,0/103644/103645/103648,"光传输,Optical Transmission"
光通信工程师,通信工作方向,传输线路设计,103649,0/103644/103645/103649,"传输线路设计,Transmission line design"
光通信工程师,通信工作方向,光系统设计,103650,0/103644/103645/103650,"光系统设计,Optical system design"
光通信工程师,通信工作方向,光路设计,103651,0/103644/103645/103651,"光路设计,Optical path design"
光通信工程师,通信工作方向,基站查勘设计,103652,0/103644/103645/103652,"基站查勘设计,Base station survey and design"
光通信工程师,通信工作方向,天线设计,103653,0/103644/103645/103653,"天线设计,Antenna Design"
光通信工程师,通信工作方向,4G,103654,0/103644/103645/103654,4G
光通信工程师,通信工作内容,网络维护,103656,0/103644/103655/103656,"网络维护,Network maintenance"
光通信工程师,通信工作内容,光缆装维,103657,0/103644/103655/103657,"光缆装维,Optical Fiber Cable Installation and Maintenance"
光通信工程师,通信工作内容,传输设备维护,103658,0/103644/103655/103658,"传输设备维护,Transmission equipment maintenance"
光通信工程师,通信工作内容,光缆熔接,103659,0/103644/103655/103659,"光缆熔接,Optical Fiber Cable Splicing"
光通信工程师,通信工作内容,光缆维护,103660,0/103644/103655/103660,"光缆维护,Optical Fiber Cable Maintenance"
光通信工程师,通信工作内容,信令分析,103661,0/103644/103655/103661,"信令分析,Signaling analysis"
光通信工程师,通信工作内容,宽带装维,103662,0/103644/103655/103662,"宽带装维,Broadband installation and maintenance"
光通信工程师,设计软件,CAD,103664,0/103644/103663/103664,CAD
光通信工程师,设计软件,SolidWorks,103665,0/103644/103663/103665,SolidWorks
光传输工程师,通信工作方向,5G,103668,0/103666/103667/103668,5G
光传输工程师,通信工作方向,室分设计,103669,0/103666/103667/103669,"室分设计,Room design"
光传输工程师,通信工作方向,传输线路设计,103670,0/103666/103667/103670,"传输线路设计,Transmission line design"
光传输工程师,通信工作方向,光纤研发,103671,0/103666/103667/103671,"光纤研发,Optical fiber research and development"
光传输工程师,通信工作方向,天线设计,103672,0/103666/103667/103672,"天线设计,Antenna Design"
光传输工程师,通信工作方向,4G,103673,0/103666/103667/103673,4G
光传输工程师,通信工作内容,网络维护,103675,0/103666/103674/103675,"网络维护,Network maintenance"
光传输工程师,通信工作内容,光缆装维,103676,0/103666/103674/103676,"光缆装维,Optical Fiber Cable Installation and Maintenance"
光传输工程师,通信工作内容,光缆抢修,103677,0/103666/103674/103677,"光缆抢修,Optical Fiber Cable Emergency Repair"
光传输工程师,通信工作内容,信令分析,103678,0/103666/103674/103678,"信令分析,Signaling analysis"
光传输工程师,通信工作内容,宽带装维,103679,0/103666/103674/103679,"宽带装维,Broadband installation and maintenance"
光传输工程师,设计软件,CAD,103681,0/103666/103680/103681,CAD
光网络工程师,通信工作方向,5G,103688,0/103686/103687/103688,5G
光网络工程师,通信工作方向,室分设计,103689,0/103686/103687/103689,"室分设计,Room design"
光网络工程师,通信工作方向,传输线路设计,103690,0/103686/103687/103690,"传输线路设计,Transmission line design"
光网络工程师,通信工作方向,天线设计,103691,0/103686/103687/103691,"天线设计,Antenna Design"
光网络工程师,通信工作方向,4G,103692,0/103686/103687/103692,4G
光网络工程师,通信工作内容,网络维护,103694,0/103686/103693/103694,"网络维护,Network maintenance"
光网络工程师,通信工作内容,光缆装维,103695,0/103686/103693/103695,"光缆装维,Optical Fiber Cable Installation and Maintenance"
光网络工程师,通信工作内容,故障处理,103696,0/103686/103693/103696,"故障处理,Troubleshooting"
光网络工程师,通信工作内容,信令分析,103697,0/103686/103693/103697,"信令分析,Signaling analysis"
光网络工程师,通信工作内容,宽带装维,103698,0/103686/103693/103698,"宽带装维,Broadband installation and maintenance"
光网络工程师,设计软件,CAD,103700,0/103686/103699/103700,CAD
通信电源工程师,硬件工具,示波器,103704,0/103701/103702/103704,"示波器,Oscilloscope"
通信电源工程师,通信工作方向,5G,103706,0/103701/103705/103706,5G
通信电源工程师,通信工作方向,室分设计,103707,0/103701/103705/103707,"室分设计,Room design"
通信电源工程师,通信工作方向,传输线路设计,103708,0/103701/103705/103708,"传输线路设计,Transmission line design"
通信电源工程师,通信工作方向,4G,103709,0/103701/103705/103709,4G
通信电源工程师,通信工作内容,信令分析,103711,0/103701/103710/103711,"信令分析,Signaling analysis"
通信电源工程师,通信工作内容,宽带装维,103712,0/103701/103710/103712,"宽带装维,Broadband installation and maintenance"
通信电源工程师,设计软件,CAD,103714,0/103701/103713/103714,CAD
有线传输工程师,通信工作内容,基站维护,103717,0/103715/103716/103717,"基站维护,Base station maintenance"
有线传输工程师,通信工作内容,网络维护,103718,0/103715/103716/103718,"网络维护,Network maintenance"
有线传输工程师,通信工作内容,光缆抢修,103719,0/103715/103716/103719,"光缆抢修,Optical Fiber Cable Emergency Repair"
有线传输工程师,通信工作内容,管道设计,103720,0/103715/103716/103720,"管道设计,Pipeline Design"
有线传输工程师,通信工作内容,光纤网络,103721,0/103715/103716/103721,"光纤网络,Optical Fiber Network"
有线传输工程师,通信工作内容,信令分析,103722,0/103715/103716/103722,"信令分析,Signaling analysis"
有线传输工程师,通信工作内容,宽带装维,103723,0/103715/103716/103723,"宽带装维,Broadband installation and maintenance"
有线传输工程师,通信工作方向,5G,103725,0/103715/103724/103725,5G
有线传输工程师,通信工作方向,室分设计,103726,0/103715/103724/103726,"室分设计,Room design"
有线传输工程师,通信工作方向,光传输,103727,0/103715/103724/103727,"光传输,Optical Transmission"
有线传输工程师,通信工作方向,传输线路设计,103728,0/103715/103724/103728,"传输线路设计,Transmission line design"
有线传输工程师,通信工作方向,天线设计,103729,0/103715/103724/103729,"天线设计,Antenna Design"
有线传输工程师,通信工作方向,4G,103730,0/103715/103724/103730,4G
有线传输工程师,设计软件,CAD,103732,0/103715/103731/103732,CAD
通信设备工程师,通信工作内容,基站维护,103740,0/103738/103739/103740,"基站维护,Base station maintenance"
通信设备工程师,通信工作内容,故障处理,103741,0/103738/103739/103741,"故障处理,Troubleshooting"
通信设备工程师,通信工作内容,基站设备维护,103742,0/103738/103739/103742,"基站设备维护,Base station equipment maintenance"
通信设备工程师,通信工作内容,网络系统设计,103743,0/103738/103739/103743,"网络系统设计,Network system design"
通信设备工程师,通信工作内容,信令分析,103744,0/103738/103739/103744,"信令分析,Signaling analysis"
通信设备工程师,通信工作内容,宽带装维,103745,0/103738/103739/103745,"宽带装维,Broadband installation and maintenance"
通信设备工程师,通信工作方向,5G,103747,0/103738/103746/103747,5G
通信设备工程师,通信工作方向,室分设计,103748,0/103738/103746/103748,"室分设计,Room design"
通信设备工程师,通信工作方向,传输线路设计,103749,0/103738/103746/103749,"传输线路设计,Transmission line design"
通信设备工程师,通信工作方向,4G,103750,0/103738/103746/103750,4G
通信设备工程师,设计软件,CAD,103752,0/103738/103751/103752,CAD
核心网工程师,计算机语言方向,C语言,103760,0/103758/103759/103760,"C语言,C"
核心网工程师,计算机语言方向,Shell,103761,0/103758/103759/103761,Shell
核心网工程师,计算机语言方向,Python,103762,0/103758/103759/103762,Python
核心网工程师,计算机语言方向,Java,103763,0/103758/103759/103763,Java
核心网工程师,计算机语言方向,C++,103764,0/103758/103759/103764,C++
核心网工程师,通信工作方向,5G,103766,0/103758/103765/103766,5G
核心网工程师,通信工作方向,室分设计,103767,0/103758/103765/103767,"室分设计,Room design"
核心网工程师,通信工作方向,移动通信,103768,0/103758/103765/103768,"移动通信,Mobile Communications"
核心网工程师,通信工作方向,天线设计,103769,0/103758/103765/103769,"天线设计,Antenna Design"
核心网工程师,通信工作方向,4G,103770,0/103758/103765/103770,4G
核心网工程师,通信工作内容,网络维护,103772,0/103758/103771/103772,"网络维护,Network maintenance"
核心网工程师,通信工作内容,故障处理,103773,0/103758/103771/103773,"故障处理,Troubleshooting"
核心网工程师,通信工作内容,基站勘测,103774,0/103758/103771/103774,"基站勘测,Base station survey"
核心网工程师,通信工作内容,信令分析,103775,0/103758/103771/103775,"信令分析,Signaling analysis"
核心网工程师,通信工作内容,宽带装维,103776,0/103758/103771/103776,"宽带装维,Broadband installation and maintenance"
通信标准化工程师,计算机语言方向,C语言,103787,0/103785/103786/103787,"C语言,C"
通信标准化工程师,计算机语言方向,C++,103788,0/103785/103786/103788,C++
通信标准化工程师,通信工作方向,5G,103790,0/103785/103789/103790,5G
通信标准化工程师,通信工作方向,室分设计,103791,0/103785/103789/103791,"室分设计,Room design"
通信标准化工程师,通信工作方向,卫星移动通信,103792,0/103785/103789/103792,"卫星移动通信,Satellite mobile communications"
通信标准化工程师,通信工作方向,无线通信,103793,0/103785/103789/103793,"无线通信,Wireless Communications"
通信标准化工程师,通信工作方向,传输线路设计,103794,0/103785/103789/103794,"传输线路设计,Transmission line design"
通信标准化工程师,通信工作方向,通信协议/软件开发,103795,0/103785/103789/103795,"通信协议/软件开发,Communication protocol/software development"
通信标准化工程师,通信工作方向,4G,103796,0/103785/103789/103796,4G
通信标准化工程师,通信工作内容,网络维护,103798,0/103785/103797/103798,"网络维护,Network maintenance"
通信标准化工程师,通信工作内容,信令分析,103799,0/103785/103797/103799,"信令分析,Signaling analysis"
通信标准化工程师,通信工作内容,宽带装维,103800,0/103785/103797/103800,"宽带装维,Broadband installation and maintenance"
电信交换工程师,计算机语言方向,C语言,103803,0/103801/103802/103803,"C语言,C"
电信交换工程师,计算机语言方向,C++,103804,0/103801/103802/103804,C++
电信交换工程师,通信工作方向,5G,103806,0/103801/103805/103806,5G
电信交换工程师,通信工作方向,室分设计,103807,0/103801/103805/103807,"室分设计,Room design"
电信交换工程师,通信工作方向,传输线路设计,103808,0/103801/103805/103808,"传输线路设计,Transmission line design"
电信交换工程师,通信工作方向,天线设计,103809,0/103801/103805/103809,"天线设计,Antenna Design"
电信交换工程师,通信工作方向,4G,103810,0/103801/103805/103810,4G
电信交换工程师,通信工作内容,网络维护,103812,0/103801/103811/103812,"网络维护,Network maintenance"
电信交换工程师,通信工作内容,信令分析,103813,0/103801/103811/103813,"信令分析,Signaling analysis"
电信交换工程师,通信工作内容,宽带装维,103814,0/103801/103811/103814,"宽带装维,Broadband installation and maintenance"
电气工程师,硬件工作方向,PLC程序设计,103820,0/103818/103819/103820,"PLC程序设计,PLC Programming"
电气工程师,硬件/电子半导体职能,电子工艺工程师,103822,0/103818/103821/103822,"电子工艺工程师,Electronic process engineer"
电气工程师,硬件/电子半导体职能,电控工程师,103823,0/103818/103821/103823,"电控工程师,Electronic control engineer"
电气工程师,设计软件,CAD,103825,0/103818/103824/103825,CAD
电气设计工程师,硬件工作方向,PLC程序设计,103828,0/103826/103827/103828,"PLC程序设计,PLC Programming"
电气设计工程师,硬件/电子半导体职能,电子工艺工程师,103830,0/103826/103829/103830,"电子工艺工程师,Electronic process engineer"
电气设计工程师,设计软件,CAD,103832,0/103826/103831/103832,CAD
自动化,计算机语言方向,C语言,103835,0/103833/103834/103835,"C语言,C"
自动化,计算机语言方向,C++,103836,0/103833/103834/103836,C++
自动化,硬件工作方向,PCB设计,103838,0/103833/103837/103838,"PCB设计,PCB Design"
自动化,硬件工作方向,嵌入式软件开发,103839,0/103833/103837/103839,"嵌入式软件开发,Embedded Software Development"
自动化,硬件工作方向,电气设计,103840,0/103833/103837/103840,"电气设计,Electrical Design"
自动化,硬件工作方向,电气布线,103841,0/103833/103837/103841,"电气布线,Electrical Wiring"
自动化,硬件/电子半导体职能,PLC工程师,103843,0/103833/103842/103843,"PLC工程师,PLC Engineer"
自动化,硬件/电子半导体职能,电子工艺工程师,103844,0/103833/103842/103844,"电子工艺工程师,Electronic process engineer"
自动化,硬件/电子半导体职能,电控工程师,103845,0/103833/103842/103845,"电控工程师,Electronic control engineer"
自动化,设计软件,CAD,103847,0/103833/103846/103847,CAD
自动化,设计软件,SolidWorks,103848,0/103833/103846/103848,SolidWorks
自动化,设计软件,Inventor,103849,0/103833/103846/103849,Inventor
自动化,设计软件,UG,103850,0/103833/103846/103850,UG
自动化,设计软件,Simulink,103851,0/103833/103846/103851,Simulink
机电工程师,语言方向,英语,103854,0/103852/103853/103854,"英语,English"
机电工程师,设计软件,CAD,103856,0/103852/103855/103856,CAD
机电工程师,设计软件,SolidWorks,103857,0/103852/103855/103857,SolidWorks
机电工程师,设计软件,AutoCAD,103858,0/103852/103855/103858,AutoCAD
机电工程师,计算机辅助工程软件,ANSA,103860,0/103852/103859/103860,ANSA
机电工程师,计算机辅助工程软件,Nastran,103861,0/103852/103859/103861,Nastran
机电工程师,计算机辅助工程软件,Ansoft,103862,0/103852/103859/103862,Ansoft
机电工程师,计算机辅助工程软件,Adams,103863,0/103852/103859/103863,Adams
机电工程师,计算机辅助工程软件,Abaqus,103864,0/103852/103859/103864,Abaqus
机电工程师,机械加工工艺,消失模铸造工艺,103866,0/103852/103865/103866,"消失模铸造工艺,Lost Foam Casting Process"
机电工程师,机械加工工艺,液压工艺,103867,0/103852/103865/103867,"液压工艺,Hydraulic process"
机电工程师,机械加工工艺,熔模铸造工艺,103868,0/103852/103865/103868,"熔模铸造工艺,Investment Casting Process"
机电工程师,机械加工工艺,电焊,103869,0/103852/103865/103869,"电焊,Electric welding"
机电工程师,机械加工工艺,氩弧焊,103870,0/103852/103865/103870,"氩弧焊,TIG welding"
机电工程师,机械加工工艺,气保焊,103871,0/103852/103865/103871,"气保焊,Gas shielded welding"
建筑机电工程师,设计软件,CAD,103874,0/103872/103873/103874,CAD
建筑机电工程师,设计软件,AFES,103875,0/103872/103873/103875,AFES
建筑机电工程师,地产业态,工业地产,103877,0/103872/103876/103877,"工业地产,Industrial real estate"
建筑机电工程师,地产业态,办公地产,103878,0/103872/103876/103878,"办公地产,Office real estate"
建筑机电工程师,地产业态,文旅地产,103879,0/103872/103876/103879,"文旅地产,Cultural and Tourism Real Estate"
建筑机电工程师,地产业态,综合体,103880,0/103872/103876/103880,"综合体,Complex"
建筑机电工程师,地产业态,商业地产,103881,0/103872/103876/103881,"商业地产,Commercial real estate"
建筑机电工程师,地产业态,海外地产,103882,0/103872/103876/103882,"海外地产,Overseas real estate"
建筑机电工程师,地产业态,旧改项目,103884,0/103872/103876/103884,"旧改项目,Urban Renewal Project"
建筑机电工程师,地产业态,酒店公寓,103885,0/103872/103876/103885,"酒店公寓,Hotel Apartment"
建筑机电工程师,地产业态,住宅地产,103886,0/103872/103876/103886,"住宅地产,Residential Real Estate"
建筑机电工程师,建筑机电方向,照明系统,103888,0/103872/103887/103888,"照明系统,Lighting system"
建筑机电工程师,建筑机电方向,临电系统,103889,0/103872/103887/103889,"临电系统,Temporary power system"
建筑机电工程师,建筑机电方向,机电安装,103890,0/103872/103887/103890,"机电安装,Electromechanical installation"
建筑机电工程师,建筑机电方向,弱电系统,103891,0/103872/103887/103891,"弱电系统,Weak current system"
建筑机电工程师,建筑机电方向,强电系统,103892,0/103872/103887/103892,"强电系统,Strong electricity system"
建筑机电工程师,建筑类型,绿色建筑,103894,0/103872/103893/103894,"绿色建筑,Green Building"
建筑机电工程师,建筑类型,装配式建筑,103895,0/103872/103893/103895,"装配式建筑,Prefabricated Buildings"
建筑机电工程师,建筑类型,农业建筑,103896,0/103872/103893/103896,"农业建筑,Agricultural buildings"
建筑机电工程师,建筑类型,历史建筑,103897,0/103872/103893/103897,"历史建筑,Historic buildings"
建筑机电工程师,建筑类型,公共建筑,103899,0/103872/103893/103899,"公共建筑,Public buildings"
建筑机电工程师,建筑类型,智能建筑,103900,0/103872/103893/103900,"智能建筑,Intelligent Buildings"
产品经理,产品方向,物流产品,104077,0/104075/104076/104077,"物流产品,Logistics Products"
产品经理,产品方向,策略产品,104078,0/104075/104076/104078,"策略产品,Strategic Products"
产品经理,产品方向,金融产品,104079,0/104075/104076/104079,"金融产品,Financial Products"
产品经理,产品方向,商业产品,104080,0/104075/104076/104080,"商业产品,Commercial Products"
产品经理,产品方向,数据产品,104081,0/104075/104076/104081,"数据产品,Data Products"
产品经理,产品方向,功能产品,104082,0/104075/104076/104082,"功能产品,Functional products"
产品经理,产品方向,搜索产品,104083,0/104075/104076/104083,"搜索产品,Search Products"
产品经理,产品方向,B端产品,104085,0/104075/104076/104085,"B端产品,B-end products"
产品经理,产品方向,APP产品,104086,0/104075/104076/104086,"APP产品,APP Products"
产品经理,产品方向,生活服务产品,104087,0/104075/104076/104087,"生活服务产品,Life service products"
产品经理,产品方向,视频产品,104088,0/104075/104076/104088,"视频产品,Video Products"
产品经理,产品方向,旅游产品,104089,0/104075/104076/104089,"旅游产品,Tourism Products"
产品经理,产品方向,广告产品,104090,0/104075/104076/104090,"广告产品,Advertising Products"
产品经理,产品方向,社交产品,104091,0/104075/104076/104091,"社交产品,Social Products"
产品经理,产品方向,移动产品,104092,0/104075/104076/104092,"移动产品,Mobile Products"
产品经理,产品方向,游戏产品,104093,0/104075/104076/104093,"游戏产品,Game Products"
产品经理,产品方向,信息系统,104094,0/104075/104076/104094,"信息系统,Information Systems"
产品经理,产品方向,网页产品,104095,0/104075/104076/104095,"网页产品,Web Products"
产品经理,产品方向,医疗产品,104096,0/104075/104076/104096,"医疗产品,Medical Products"
产品经理,产品方向,资讯产品,104097,0/104075/104076/104097,"资讯产品,Information Products"
产品经理,产品方向,电商产品,104098,0/104075/104076/104098,"电商产品,E-commerce products"
产品经理,产品方向,在线教育产品,104099,0/104075/104076/104099,"在线教育产品,Online education products"
产品经理,产品方向,内容产品,104100,0/104075/104076/104100,"内容产品,Content Products"
产品经理,产品方向,硬件产品,104101,0/104075/104076/104101,"硬件产品,Hardware Products"
产品经理,产品方向,后台产品,104102,0/104075/104076/104102,"后台产品,Back-end products"
产品经理,产品职责,交互设计,104104,0/104075/104103/104104,"交互设计,Interaction Design"
产品经理,产品职责,原型设计,104105,0/104075/104103/104105,"原型设计,Prototype Design"
产品经理,产品职责,思维导图,104106,0/104075/104103/104106,"思维导图,Mind Map"
产品经理,产品职责,用户增长,104108,0/104075/104103/104108,"用户增长,User growth"
产品经理,产品职责,需求分析,104110,0/104075/104103/104110,"需求分析,Demand Analysis"
产品经理,产品职责,用户研究,104112,0/104075/104103/104112,"用户研究,User Research"
产品专员,产品方向,策略产品,104115,0/104113/104114/104115,"策略产品,Strategic Products"
产品专员,产品方向,金融产品,104116,0/104113/104114/104116,"金融产品,Financial Products"
产品专员,产品方向,商业产品,104117,0/104113/104114/104117,"商业产品,Commercial Products"
产品专员,产品方向,数据产品,104118,0/104113/104114/104118,"数据产品,Data Products"
产品专员,产品方向,功能产品,104119,0/104113/104114/104119,"功能产品,Functional products"
产品专员,产品方向,搜索产品,104120,0/104113/104114/104120,"搜索产品,Search Products"
产品专员,产品方向,B端产品,104122,0/104113/104114/104122,"B端产品,B-end products"
产品专员,产品方向,生活服务产品,104123,0/104113/104114/104123,"生活服务产品,Life service products"
产品专员,产品方向,视频产品,104124,0/104113/104114/104124,"视频产品,Video Products"
产品专员,产品方向,社交产品,104125,0/104113/104114/104125,"社交产品,Social Products"
产品专员,产品方向,游戏产品,104126,0/104113/104114/104126,"游戏产品,Game Products"
产品专员,产品方向,信息系统,104127,0/104113/104114/104127,"信息系统,Information Systems"
产品专员,产品方向,医疗产品,104128,0/104113/104114/104128,"医疗产品,Medical Products"
产品专员,产品方向,电商产品,104129,0/104113/104114/104129,"电商产品,E-commerce products"
产品专员,产品方向,在线教育产品,104130,0/104113/104114/104130,"在线教育产品,Online education products"
产品专员,产品方向,硬件产品,104131,0/104113/104114/104131,"硬件产品,Hardware Products"
产品专员,产品方向,后台产品,104132,0/104113/104114/104132,"后台产品,Back-end products"
产品专员,产品职责,流程设计,104134,0/104113/104133/104134,"流程设计,Process Design"
产品专员,产品职责,交互设计,104135,0/104113/104133/104135,"交互设计,Interaction Design"
产品专员,产品职责,原型设计,104136,0/104113/104133/104136,"原型设计,Prototype Design"
产品专员,产品职责,思维导图,104137,0/104113/104133/104137,"思维导图,Mind Map"
产品专员,产品职责,需求分析,104139,0/104113/104133/104139,"需求分析,Demand Analysis"
产品专员,产品职责,用户研究,104141,0/104113/104133/104141,"用户研究,User Research"
产品专员,产品软件,墨刀,104143,0/104113/104142/104143,"墨刀,Mockplus"
产品专员,产品软件,Visio,104144,0/104113/104142/104144,Visio
产品专员,产品软件,Axure,104145,0/104113/104142/104145,Axure
产品助理,产品方向,策略产品,104148,0/104146/104147/104148,"策略产品,Strategic Products"
产品助理,产品方向,金融产品,104149,0/104146/104147/104149,"金融产品,Financial Products"
产品助理,产品方向,商业产品,104150,0/104146/104147/104150,"商业产品,Commercial Products"
产品助理,产品方向,数据产品,104151,0/104146/104147/104151,"数据产品,Data Products"
产品助理,产品方向,功能产品,104152,0/104146/104147/104152,"功能产品,Functional products"
产品助理,产品方向,搜索产品,104153,0/104146/104147/104153,"搜索产品,Search Products"
产品助理,产品方向,B端产品,104155,0/104146/104147/104155,"B端产品,B-end products"
产品助理,产品方向,生活服务产品,104156,0/104146/104147/104156,"生活服务产品,Life service products"
产品助理,产品方向,视频产品,104157,0/104146/104147/104157,"视频产品,Video Products"
产品助理,产品方向,社交产品,104158,0/104146/104147/104158,"社交产品,Social Products"
产品助理,产品方向,游戏产品,104159,0/104146/104147/104159,"游戏产品,Game Products"
产品助理,产品方向,信息系统,104160,0/104146/104147/104160,"信息系统,Information Systems"
产品助理,产品方向,医疗产品,104161,0/104146/104147/104161,"医疗产品,Medical Products"
产品助理,产品方向,电商产品,104162,0/104146/104147/104162,"电商产品,E-commerce products"
产品助理,产品方向,在线教育产品,104163,0/104146/104147/104163,"在线教育产品,Online education products"
产品助理,产品方向,硬件产品,104164,0/104146/104147/104164,"硬件产品,Hardware Products"
产品助理,产品方向,后台产品,104165,0/104146/104147/104165,"后台产品,Back-end products"
产品助理,产品职责,流程设计,104167,0/104146/104166/104167,"流程设计,Process Design"
产品助理,产品职责,交互设计,104168,0/104146/104166/104168,"交互设计,Interaction Design"
产品助理,产品职责,原型设计,104169,0/104146/104166/104169,"原型设计,Prototype Design"
产品助理,产品职责,思维导图,104170,0/104146/104166/104170,"思维导图,Mind Map"
产品助理,产品职责,需求分析,104172,0/104146/104166/104172,"需求分析,Demand Analysis"
产品助理,产品职责,用户研究,104174,0/104146/104166/104174,"用户研究,User Research"
产品助理,产品软件,墨刀,104176,0/104146/104175/104176,"墨刀,Mockplus"
产品助理,产品软件,Visio,104177,0/104146/104175/104177,Visio
产品助理,产品软件,Axure,104178,0/104146/104175/104178,Axure
电商产品经理,产品方向,策略产品,104210,0/104208/104209/104210,"策略产品,Strategic Products"
电商产品经理,产品方向,商业产品,104211,0/104208/104209/104211,"商业产品,Commercial Products"
电商产品经理,产品方向,功能产品,104212,0/104208/104209/104212,"功能产品,Functional products"
电商产品经理,产品方向,搜索产品,104213,0/104208/104209/104213,"搜索产品,Search Products"
电商产品经理,产品方向,B端产品,104215,0/104208/104209/104215,"B端产品,B-end products"
电商产品经理,产品方向,前台产品,104216,0/104208/104209/104216,"前台产品,Front-end products"
电商产品经理,产品方向,移动产品,104217,0/104208/104209/104217,"移动产品,Mobile Products"
电商产品经理,产品职责,交互设计,104219,0/104208/104218/104219,"交互设计,Interaction Design"
电商产品经理,产品职责,原型设计,104220,0/104208/104218/104220,"原型设计,Prototype Design"
电商产品经理,产品职责,思维导图,104221,0/104208/104218/104221,"思维导图,Mind Map"
电商产品经理,产品职责,用户增长,104222,0/104208/104218/104222,"用户增长,User growth"
电商产品经理,产品职责,需求分析,104224,0/104208/104218/104224,"需求分析,Demand Analysis"
电商产品经理,产品职责,用户研究,104226,0/104208/104218/104226,"用户研究,User Research"
AI产品经理,人工智能方向,语义类AI,104233,0/104227/104231/104233,"语义类AI,Semantic AI"
AI产品经理,人工智能方向,智能医疗,104234,0/104227/104231/104234,"智能医疗,Smart Healthcare"
AI产品经理,人工智能方向,智能家居,104235,0/104227/104231/104235,"智能家居,Smart Home"
AI产品经理,人工智能方向,AI机器人,104236,0/104227/104231/104236,"AI机器人,AI Robots"
AI产品经理,人工智能方向,智能汽车,104237,0/104227/104231/104237,"智能汽车,Smart Cars"
AI产品经理,人工智能方向,AI芯片,104238,0/104227/104231/104238,"AI芯片,AI Chips"
AI产品经理,人工智能方向,机器学习类AI,104239,0/104227/104231/104239,"机器学习类AI,Machine Learning AI"
AI产品经理,人工智能方向,语音类AI,104240,0/104227/104231/104240,"语音类AI,Voice AI"
AI产品经理,人工智能方向,视觉类AI,104241,0/104227/104231/104241,"视觉类AI,Vision AI"
数据产品经理,计算机语言方向,SQL,104244,0/104242/104243/104244,SQL
数据产品经理,计算机语言方向,Python,104245,0/104242/104243/104245,Python
数据产品经理,数据职能,数据挖掘,104247,0/104242/104246/104247,"数据挖掘,Data Mining"
数据产品经理,数据职能,数据开发,104248,0/104242/104246/104248,"数据开发,Data Development"
数据产品经理,数据职能,数据建模,104249,0/104242/104246/104249,"数据建模,Data Modeling"
数据产品经理,数据分析工具,SPSS,104251,0/104242/104250/104251,SPSS
数据产品经理,数据分析工具,SAS,104252,0/104242/104250/104252,SAS
数据产品经理,产品方向,物流产品,104254,0/104242/104253/104254,"物流产品,Logistics Products"
数据产品经理,产品方向,金融产品,104255,0/104242/104253/104255,"金融产品,Financial Products"
数据产品经理,产品方向,商业产品,104256,0/104242/104253/104256,"商业产品,Commercial Products"
数据产品经理,产品方向,搜索产品,104257,0/104242/104253/104257,"搜索产品,Search Products"
