"一级","二级","职位名","职位id","职位编码","别名"
IT互联网,产品,产品总监,101479,"0/101201/101478/101479","产品总监,产品部长,产品VP,产品DIRECTOR,PRODUCT DIRECTOR,PRODUCT总监"
IT互联网,产品,产品经理/主管,101481,"0/101201/101478/101481","产品经理/主管,PRODUCT MANAGER,PRODUCT LEAD,PRODUCT负责人,PRODUCT SUPERVISOR,PRODUCT LEADER,PRODUCT主管,PRODUCT经理,产品SUPERVISOR,产品MANAGER,产品LEADER,产品LEAD,产品主管,产品经理,产品负责人,产品主任,PRODUCT专家,产品专家,Product Manager/Supervisor"
IT互联网,产品,产品助理/专员,101482,"0/101201/101478/101482","产品助理/专员,PRODUCT ASSISTANT,PRODUCT SPECIALIST,产品SPECIALIST,产品专员,产品助理,产品担当,Product Assistant/Specialist"
IT互联网,产品,网页产品经理,101483,"0/101201/101478/101483","网页产品经理,网页产品lead,网页产品leader,网页产品MANAGER,网页产品主管,网页产品负责人,Webpage Product Manager"
IT互联网,产品,移动产品经理,101484,"0/101201/101478/101484","移动产品经理,移动产品lead,移动产品leader,移动产品MANAGER,移动产品主管,移动产品负责人,APP产品lead,APP产品leader,APP产品MANAGER,APP产品主管,APP产品经理,APP产品负责人,移动产品主任,APP产品主任,Mobile Product Manager"
IT互联网,产品,数据产品经理,101485,"0/101201/101478/101485","数据产品经理,数据产品主管,数据产品负责人,数据产品lead,数据产品leader,数据产品MANAGER,Data Product Manager"
IT互联网,运营,运营总监,101487,"0/101201/101486/101487","运营总监,Operations Director,OPERATION DIRECTOR,运营DIRECTOR"
IT互联网,运营,新媒体运营经理/主管,101488,"0/101201/101486/101488","新媒体运营经理/主管,NEW MEDIA OPERATIONS LEAD,新媒体运营MANAGER,NEW MEDIA OPERATIONS负责人,新媒体运营主管,NEW MEDIA OPERATIONS LEADER,NEW MEDIA OPERATIONS MANAGER,NEW MEDIA OPERATIONS管理,新媒体运营管理,NEW MEDIA OPERATIONS SUPERVISOR,新媒体运营LEADER,NEW MEDIA OPERATIONS经理,新媒体运营SUPERVISOR,NEW MEDIA OPERATIONS主管,新媒体运营负责人,新媒体运营LEAD,新媒体运营经理,New Media Operations Manager/Supervisor"
IT互联网,运营,新媒体运营专员/助理,101489,"0/101201/101486/101489","新媒体运营专员/助理,新媒体运营,NEW MEDIA OPERATIONS,New Media Operations Specialist/Assistant"
IT互联网,运营,产品运营经理/主管,101490,"0/101201/101486/101490","产品运营经理/主管,产品运营经理,PRODUCT OPERATION MANAGER,PRODUCT OPERATION管理,PRODUCT OPERATION主管,产品运营负责人,PRODUCT OPERATION LEADER,PRODUCT OPERATION负责人,PRODUCT OPERATION LEAD,PRODUCT OPERATION SUPERVISOR,产品运营主管,产品运营管理,产品运营MANAGER,PRODUCT OPERATION经理,产品运营LEADER,产品运营LEAD,产品运营SUPERVISOR,产品运营组长,PRODUCT OPERATIONS负责人,PRODUCT OPERATIONS经理,PRODUCT OPERATIONS管理,PRODUCT OPERATIONS LEAD,PRODUCT OPERATIONS LEADER,PRODUCT OPERATIONS MANAGER,PRODUCT OPERATIONS SUPERVISOR,PRODUCT OPERATIONS主管,APP运营主管,APP运营主任,产品运营主任,APP运营经理,APP运营管理,APP运营负责人,APP运营组长,Product Operations Manager/Supervisor"
IT互联网,运营,产品运营专员/助理,101491,"0/101201/101486/101491","产品运营专员/助理,产品运营,Product Operation,Product Operations,APP运营,Product Operations Specialist/Assistant"
IT互联网,运营,用户运营经理/主管,101492,"0/101201/101486/101492","用户运营经理/主管,用户运营负责人,用户运营经理,用户运营主管,用户运营MANAGER,用户运营LEAD,用户运营leader,用户运营supervisor,用户运营管理,User Operations Manager/Supervisor"
IT互联网,运营,用户运营专员/助理,101493,"0/101201/101486/101493","用户运营专员/助理,用户运营,User Operations Specialist/Assistant"
IT互联网,运营,活动运营经理/主管,101494,"0/101201/101486/101494","活动运营经理/主管,活动运营MANAGER,活动运营SUPERVISOR,活动运营主管,活动运营LEAD,活动运营LEADER,活动运营管理,活动运营负责人,活动运营经理,Event Operations Manager/Supervisor"
IT互联网,运营,活动运营专员/助理,101495,"0/101201/101486/101495","活动运营专员/助理,活动运营,Event Operations Specialist/Assistant"
IT互联网,运营,内容运营经理/主管,101496,"0/101201/101486/101496","内容运营经理/主管,内容运营负责人,内容运营SUPERVISOR,内容运营LEAD,内容运营MANAGER,内容运营管理,内容运营经理,内容运营LEADER,内容运营主管,Content Operations Manager/Supervisor"
IT互联网,运营,内容运营专员/助理,101497,"0/101201/101486/101497","内容运营专员/助理,内容运营,Content Operations Specialist/Assistant"
IT互联网,运营,网络推广经理/主管,101498,"0/101201/101486/101498","网络推广经理/主管,网络推广LEAD,网络推广LEADER,网络推广MANAGER,网络推广SUPERVISOR,网络推广主管,网络推广管理,网络推广经理,网络推广负责人,Network Promotion Manager/Supervisor"
IT互联网,运营,网络推广专员/助理,101499,"0/101201/101486/101499","网络推广专员/助理,网络推广,Network Promotion Specialist/Assistant"
IT互联网,运营,商家运营经理/主管,101501,"0/101201/101486/101501","商家运营经理/主管,商家运营LEAD,商家运营LEADER,商家运营MANAGER,商家运营SUPERVISOR,商家运营主管,商家运营管理,商家运营经理,商家运营负责人,商户运营LEAD,商户运营LEADER,商户运营MANAGER,商户运营SUPERVISOR,商户运营主管,商户运营管理,商户运营经理,商户运营负责人,商户运营组长,商家运营组长,Merchant Operations Manager/Supervisor"
IT互联网,运营,商家运营专员/助理,101502,"0/101201/101486/101502","商家运营专员/助理,商家运营,商户运营,Merchant Operations Specialist/Assistant"
IT互联网,运营,数据运营经理/主管,101505,"0/101201/101486/101505","数据运营经理/主管,数据运营主管,数据运营MANAGER,数据运营LEADER,数据运营经理,数据运营负责人,数据运营LEAD,数据运营管理,数据运营SUPERVISOR,Data Operations Manager/Supervisor"
IT互联网,运营,数据运营专员/助理,101506,"0/101201/101486/101506","数据运营专员/助理,数据运营,Data Operations Specialist/Assistant"
IT互联网,运营,微信运营经理/主管,101507,"0/101201/101486/101507","微信运营经理/主管,公众号运营LEAD,公众号运营MANAGER,微信运营主管,微信运营LEAD,公众号运营SUPERVISOR,微信运营SUPERVISOR,微信运营经理,公众号运营经理,微信运营MANAGER,微信运营管理,公众号运营主管,公众号运营LEADER,微信运营LEADER,公众号运营管理,公众号运营负责人,微信运营负责人,WeChat Operations Manager/Supervisor"
IT互联网,运营,微信运营专员/助理,101508,"0/101201/101486/101508","微信运营专员/助理,微信运营,公众号运营,WeChat Operations Specialist/Assistant"
IT互联网,运营,增长黑客专员/助理,101509,"0/101201/101486/101509","增长黑客专员/助理,增长黑客,增长用户,Growth Hacking Specialist/Assistant"
IT互联网,运营,增长黑客经理/主管,101510,"0/101201/101486/101510","增长黑客经理/主管,黑客增长负责人,用户增长LEADER,黑客增长管理,用户增长专家,用户增长MANAGER,黑客增长专家,黑客增长LEADER,黑客增长主管,用户增长主管,用户增长SUPERVISOR,用户增长经理,黑客增长经理,用户增长LEAD,用户增长管理,用户增长负责人,黑客增长LEAD,黑客增长SUPERVISOR,黑客增长MANAGER,Growth Hacking Manager/Director"
IT互联网,运营,线下拓展运营专员/助理,101511,"0/101201/101486/101511","线下拓展运营专员/助理,线下运营,Offline development operations specialist/assistant"
IT互联网,运营,线下拓展运营经理/主管,101512,"0/101201/101486/101512","线下拓展运营经理/主管,线下运营LEAD,线下运营LEADER,线下运营MANAGER,线下运营SUPERVISOR,线下运营主管,线下运营管理,线下运营经理,线下运营负责人,Offline Development Operation Manager/Supervisor"
IT互联网,运营,微博运营专员/助理,101513,"0/101201/101486/101513","微博运营专员/助理,微博运营,Weibo Operations Specialist/Assistant"
IT互联网,运营,微博运营经理/主管,101514,"0/101201/101486/101514","微博运营经理/主管,微博运营LEADER,微博运营管理,微博运营经理,微博运营SUPERVISOR,微博运营MANAGER,微博运营LEAD,微博运营主管,微博运营负责人,Weibo Operations Manager/Supervisor"
IT互联网,运营,网站运营专员/助理,101515,"0/101201/101486/101515","网站运营专员/助理,网站运营,Website Operations Specialist/Assistant"
IT互联网,运营,网站运营经理/主管,101516,"0/101201/101486/101516","网站运营经理/主管,网站运营LEAD,网站运营LEADER,网站运营MANAGER,网站运营SUPERVISOR,网站运营主管,网站运营管理,网站运营经理,网站运营负责人,Website Operations Manager/Supervisor"
IT互联网,运营,社区运营专员/助理,101517,"0/101201/101486/101517","社区运营专员/助理,社区运营,社群运营,Community Operations Specialist/Assistant"
IT互联网,运营,社区运营经理/主管,101518,"0/101201/101486/101518","社区运营经理/主管,社区运营LEAD,社区运营LEADER,社区运营MANAGER,社区运营SUPERVISOR,社区运营主管,社区运营管理,社区运营经理,社区运营负责人,社群运营LEAD,社群运营LEADER,社群运营MANAGER,社群运营SUPERVISOR,社群运营主管,社群运营管理,社群运营经理,社群运营负责人,Community Operations Manager/Supervisor"
IT互联网,运营,品类运营专员/助理,101519,"0/101201/101486/101519","品类运营专员/助理,品类运营,Category Operations Specialist/Assistant"
IT互联网,运营,品类运营经理/主管,101520,"0/101201/101486/101520","品类运营经理/主管,品类运营LEAD,品类运营LEADER,品类运营MANAGER,品类运营SUPERVISOR,品类运营主管,品类运营管理,品类运营经理,品类运营负责人,Category Operations Manager/Supervisor"
IT互联网,运营,策略运营专员/助理,101523,"0/101201/101486/101523","策略运营专员/助理,策略运营,Strategic Operations Specialist/Assistant"
IT互联网,运营,策略运营经理/主管,101524,"0/101201/101486/101524","策略运营经理/主管,策略运营LEAD,策略运营LEADER,策略运营MANAGER,策略运营SUPERVISOR,策略运营主管,策略运营管理,策略运营经理,策略运营负责人,Strategic Operations Manager/Supervisor"
房地产/建筑/物业,拿地,投资拿地经理/主管,101603,"0/101601/101602/101603","投资拿地经理/主管,投资扩展经理,拿地负责人,拿地主管,投资扩展主管,投资扩展负责人,拿地经理,投资扩展主任,投资扩展管理,拿地主任,拿地管理,土地主任,土地主管,土地管理,土地负责人,土地经理,投资开发主任,投资开发主管,投资开发经理,投资开发管理,投资开发负责人,投资拓展主任,投资拓展主管,投资拓展经理,投资拓展管理,投资拓展负责人,投资发展主任,投资发展主管,投资发展管理,投资发展负责人,投资发展经理,Investment and Land Acquisition Manager/Supervisor"
房地产/建筑/物业,工程管理类,总工程师/副总工程师,101605,"0/101601/101604/101605","总工程师/副总工程师,CHIEF ENGINEER,总工,总工程师,首席工程师,ENGINEERING DIRECTOR,工程副总,工程总监,工程总经理,Chief Engineer/Deputy Chief Engineer"
房地产/建筑/物业,工程管理类,工程经理/主管,101607,"0/101601/101604/101607","工程经理/主管,ENGINEERING MANAGER,工程主管,ENGINEERING SUPERVISOR,工程主任,工程负责人,工程经理,工程部长,Engineering Manager/Supervisor"
房地产/建筑/物业,工程管理类,土建工程主管,101608,"0/101601/101604/101608","土建工程主管,土建主管,土建经理,土建负责人,CIVIL SUPERVISOR,土建主任,CIVIL MANAGER,Civil Engineering Supervisor"
房地产/建筑/物业,工程管理类,土建工程师,101609,"0/101601/101604/101609","土建工程师,CIVIL ENGINEER,土建"
房地产/建筑/物业,工程管理类,安装/水电工程师,101611,"0/101601/101604/101611","安装/水电工程师,安装师,水电师,HYDROELECTRIC ENGINEER,Installation/Hydropower Engineer"
房地产/建筑/物业,工程管理类,园艺/园林/景观工程主管,101613,"0/101601/101604/101613","园艺/园林/景观工程主管,园艺负责人,景观负责人,园林负责人,园林主管,景观经理,园林经理,园艺经理,LANDSCAPE MANAGER,园艺主管,景观主管,Horticulture/Garden/Landscape Engineering Supervisor"
房地产/建筑/物业,工程管理类,园艺/园林/景观工程师,101614,"0/101601/101604/101614","园艺/园林/景观工程师,园林,LANDSCAPE ASSISTANT,园艺,景观,LANDSCAPE ENGINEER,Horticulture/Garden/Landscape Engineer"
房地产/建筑/物业,工程管理类,暖通工程主管,101615,"0/101601/101604/101615","暖通工程主管,暖通负责人,暖通主管,HVAC MANAGER,暖通经理,暖通主任,暖通科长,HVAC Engineering Supervisor"
房地产/建筑/物业,工程管理类,暖通工程师,101616,"0/101601/101604/101616","暖通工程师,暖通,HVAC ENGINEER"
房地产/建筑/物业,工程管理类,给排水工程主管,101617,"0/101601/101604/101617","给排水工程主管,给排水主管,给排水经理,WATER SUPPLY AND DRAINAGE MANAGER,给排水负责人,给排水主任,Water supply and drainage engineering supervisor"
房地产/建筑/物业,工程管理类,电气工程主管,101619,"0/101601/101604/101619","电气工程主管,电气主管,电气主任,电气负责人,电气经理,Electrical Supervisor,Electrical manager,Electrical leader,Electrical Engineering Supervisor"
房地产/建筑/物业,工程管理类,电气工程师,101620,"0/101601/101604/101620","电气工程师,ELETRICAL ENGINEER,Electrical Engineer"
房地产/建筑/物业,工程管理类,设备工程主管,101622,"0/101601/101604/101622","设备工程主管,设备负责人,设备经理,设备主管,设备主任,设备部长,设备处长,Equipment Engineering Supervisor"
房地产/建筑/物业,工程管理类,设备工程师,101623,"0/101601/101604/101623","设备工程师,设备,EQUIPMENT ENGINEER"
房地产/建筑/物业,工程管理类,机电工程主管,101625,"0/101601/101604/101625","机电工程主管,机电负责人,机电主任,机电经理,机电主管,Mechanical and Electrical Engineering Supervisor"
房地产/建筑/物业,工程管理类,机电工程师,101626,"0/101601/101604/101626","机电工程师,机电设计师,Mechanical and electrical engineer"
房地产/建筑/物业,工程管理类,钢结构工程主管,101628,"0/101601/101604/101628","钢结构工程主管,钢结构主任,钢结构经理,钢结构负责人,钢结构主管,Steel Structure Engineering Supervisor"
房地产/建筑/物业,工程管理类,钢结构工程师,101629,"0/101601/101604/101629","钢结构工程师,钢结构,Steel structure engineer"
房地产/建筑/物业,工程管理类,市政工程主管,101631,"0/101601/101604/101631","市政工程主管,市政主管,市政主任,市政负责人,市政经理,Municipal Engineering Supervisor"
房地产/建筑/物业,工程管理类,市政工程师,101632,"0/101601/101604/101632","市政工程师,市政,Municipal Engineer"
房地产/建筑/物业,工程管理类,路桥工程主管,101634,"0/101601/101604/101634","路桥工程主管,路桥经理,路桥负责人,路桥主管,路桥主任,道路桥梁主管,道路桥梁经理,道路桥梁负责人,道路桥梁主任,Road and Bridge Engineering Supervisor"
房地产/建筑/物业,工程管理类,路桥工程师,101635,"0/101601/101604/101635","路桥工程师,路桥,道路桥梁,Road and Bridge Engineer"
房地产/建筑/物业,工程管理类,岩土工程主管,101637,"0/101601/101604/101637","岩土工程主管,岩土主管,岩土负责人,岩土主任,岩土经理,Geotechnical Engineering Supervisor"
房地产/建筑/物业,工程管理类,岩土工程师,101638,"0/101601/101604/101638","岩土工程师,岩土,Geotechnical Engineer"
房地产/建筑/物业,工程管理类,测绘工程主管,101640,"0/101601/101604/101640","测绘工程主管,测绘经理,测绘主任,测绘主管,测绘负责人,测绘组长,Surveying and Mapping Engineering Supervisor"
房地产/建筑/物业,工程管理类,测绘工程师,101641,"0/101601/101604/101641","测绘工程师,测绘,Surveying and Mapping Engineer"
房地产/建筑/物业,工程管理类,爆破工程主管,101643,"0/101601/101604/101643","爆破工程主管,爆破主管,爆破负责人,爆破主任,爆破经理,Blasting Engineering Supervisor"
房地产/建筑/物业,工程管理类,爆破工程师,101644,"0/101601/101604/101644","爆破工程师,爆破,Blasting Engineer"
房地产/建筑/物业,工程管理类,建筑工程主管,101649,"0/101601/101604/101649","建筑工程主管,建筑主管,建筑经理,建筑主任,建筑负责人,建筑组长,建筑主创,总建筑,建筑所长,Construction Engineering Supervisor"
房地产/建筑/物业,工程管理类,建筑工程师,101650,"0/101601/101604/101650","建筑工程师,建筑,Construction Engineer"
房地产/建筑/物业,工程管理类,结构工程主管,101652,"0/101601/101604/101652","结构工程主管,结构负责人,结构主管,结构-设计主任,结构-设计经理,结构组长,结构-设计总监,Structural Engineering Supervisor"
房地产/建筑/物业,工程管理类,结构工程师,101653,"0/101601/101604/101653","结构工程师,结构,Structural Engineer"
房地产/建筑/物业,工程管理类,现场,101655,"0/101601/101604/101655","现场,现场管理,on site"
房地产/建筑/物业,工程管理类,资料员,101656,"0/101601/101604/101656","资料员,资料助理,资料担当,Data clerk"
房地产/建筑/物业,工程管理类,工长,101659,"0/101601/101604/101659","工长,Foreman"
房地产/建筑/物业,设计类,建筑设计总监/总建筑师,101661,"0/101601/101660/101661","建筑设计总监/总建筑师,主创建筑师,总建筑师,建筑设计总监,建筑设计总经理,建筑设计副总,Architectural Design Director/Chief Architect"
房地产/建筑/物业,设计类,建筑设计经理/主管,101662,"0/101601/101660/101662","建筑设计经理/主管,建筑设计主管,建筑设计经理,建筑设计负责人,建筑设计主任,建筑设计管理,Architectural Design Manager/Supervisor"
房地产/建筑/物业,设计类,建筑设计师,101663,"0/101601/101660/101663","建筑设计师,建筑设计员,建筑设计助理,建筑设计专家,Architectural Designer"
房地产/建筑/物业,设计类,规划设计师,101664,"0/101601/101660/101664","规划设计师,规划设计员,规划设计助理,规划设计专家,Planning Designer"
房地产/建筑/物业,设计类,审图工程师,101665,"0/101601/101660/101665","审图工程师,审图师,Drawing review engineer"
房地产/建筑/物业,设计类,钢结构设计师,101666,"0/101601/101660/101666","钢结构设计师,钢结构设计担当,钢结构设计员,钢结构设计专家,钢结构设计助理,Steel structure designer"
房地产/建筑/物业,设计类,水电设计经理/主管,101667,"0/101601/101660/101667","水电设计经理/主管,水电设计主管,水电设计经理,水电设计管理,水电设计主任,水电设计负责人,Hydropower Design Manager/Supervisor"
房地产/建筑/物业,设计类,水电设计师,101668,"0/101601/101660/101668","水电设计师,水电设计助理,水电设计员,水电设计专家,Hydropower Designer"
房地产/建筑/物业,设计类,给排水设计经理/主管,101669,"0/101601/101660/101669","给排水设计经理/主管,给排水设计经理,给排水设计主管,PLUMBING AND MECHANICAL DESIGN MANAGER,PLUMBING AND MECHANICAL DESIGN SUPERVISOR,给排水设计主任,给排水设计管理,给排水设计负责人,Water supply and drainage design manager/supervisor"
房地产/建筑/物业,设计类,给排水设计师,101670,"0/101601/101660/101670","给排水设计师,PLUMBING AND MECHANICAL DESIGN ENGINEER,给排水设计助理,给排水设计员,给排水设计专家,Water supply and drainage designer"
房地产/建筑/物业,设计类,电气设计经理/主管,101671,"0/101601/101660/101671","电气设计经理/主管,ELECTRICAL DESIGN MANAGER,ELECTRICAL DESIGN SUPERVISOR,电气设计科长,电气设计主管,电气设计经理,电气设计管理,电气设计主任,电气设计负责人,Electrical Design Manager/Supervisor"
房地产/建筑/物业,设计类,电气设计师,101672,"0/101601/101660/101672","电气设计师,电气设计担当,ELECTRICAL DESIGN ENGINEER,电气设计助理,电气设计专家,电气设计员,Electrical Designer"
房地产/建筑/物业,设计类,暖通设计经理/主管,101673,"0/101601/101660/101673","暖通设计经理/主管,暖通设计负责人,暖通设计经理,暖通设计主任,暖通设计主管,暖通设计管理,HVAC Design Manager/Supervisor"
房地产/建筑/物业,设计类,暖通设计师,101674,"0/101601/101660/101674","暖通设计师,暖通设计助理,暖通设计员,暖通设计专家,HVAC designer"
房地产/建筑/物业,设计类,幕墙设计经理/主管,101675,"0/101601/101660/101675","幕墙设计经理/主管,幕墙设计主管,幕墙设计经理,幕墙设计主任,幕墙设计管理,幕墙设计负责人,Curtain Wall Design Manager/Supervisor"
房地产/建筑/物业,设计类,幕墙设计师,101676,"0/101601/101660/101676","幕墙设计师,幕墙设计员,幕墙设计助理,幕墙设计专家,Curtain wall designer"
房地产/建筑/物业,设计类,园艺/园林/景观设计经理/主管,101677,"0/101601/101660/101677","园艺/园林/景观设计经理/主管,景观设计主管,园林设计经理,园艺设计经理,园林设计主管,园艺设计主管,景观设计经理,园林设计负责人,园林设计主任,园林设计管理,园艺设计主任,园艺设计管理,园艺设计负责人,景观设计主任,景观设计管理,景观设计负责人,Horticulture/Garden/Landscape Design Manager/Supervisor"
房地产/建筑/物业,设计类,园艺/园林/景观设计师,101678,"0/101601/101660/101678","园艺/园林/景观设计师,园林设计助理,园艺设计助理,景观设计助理,景观设计员,景观设计师,景观设计专家,园艺设计专家,园艺设计员,园艺设计师,园林设计员,园林设计师,园林设计专家,Horticulture/Garden/Landscape Designer"
房地产/建筑/物业,设计类,效果图制作/建筑制图,101679,"0/101601/101660/101679","效果图制作/建筑制图,效果图师,CAD DRAFTER SPECIALIST,CAD DRAFTER ASSISTANT,效果图员,制图师,制图员,制图助理,效果图助理,效果图专家,制图专家,效果图制作,Rendering production/architectural drafting"
房地产/建筑/物业,成本/造价/预算类,工程造价师/预结算经理/主管,101705,"0/101601/101702/101705","工程造价师/预结算经理/主管,BUDGETING MANAGER,预结算经理,预算主管,预结算主管,造价主管,预算经理,造价经理,BUDGETING SUPERVISOR,Project Cost Estimator/Pre-settlement Manager/Supervisor"
房地产/建筑/物业,成本/造价/预算类,工程造价员/预结算员/助理,101706,"0/101601/101702/101706","工程造价员/预结算员/助理,预结算助理,预结算员,预算员,预算助理,BUDGETING ASSISTANT,BUDGETING SPECIALIST,造价助理,造价师,造价员,预结算师,预算师,Engineering Cost Clerk/Budget and Settlement Clerk/Assistant"
房地产/建筑/物业,成本/造价/预算类,工程造价师/预结算总监,101803,"0/101601/101702/101803","工程造价师/预结算总监,造价总监,BUDGETING DIRECTOR,预算总监,预结算总监,Project Cost Estimator/Pre-settlement Director"
房地产/建筑/物业,成本/造价/预算类,成本专员/助理,101804,"0/101601/101702/101804","成本专员/助理,CA助理,CA员,成本助理,成本员,COST ANALYST员,COST ANALYST助理,成本师,Cost Specialist/Assistant"
IT互联网,技术类,Java总监,102123,"0/101201/101278/102123","Java总监,JAVA DIRECTOR,JAVA GENERAL MANAGER,JAVA HEAD,JAVA总经理,JAVA部长"
金融业,通用,托管产品经理,102129,"0/102124/102125/102129","托管产品经理,托管产品主管,托管产品负责人,托管产品主任,托管产品管理,托管产品员,托管产品顾问,托管产品专家,Custodial Product Manager"
金融业,通用,基金经理,102131,"0/102124/102125/102131","基金经理,FUND MANAGER,基金主管,基金负责人"
金融业,通用,基金助理,102132,"0/102124/102125/102132","基金助理,FUND ASSISTANT"
金融业,通用,首席分析师/研究院院长,102133,"0/102124/102125/102133","首席分析师/研究院院长,首席研究,首席分析,研究院长,Chief Analyst/Dean of Research Institute"
金融业,通用,产品分析专员,102135,"0/102124/102125/102135","产品分析专员,Product Analysis,产品分析,Product Analysis Specialist"
金融业,通用,产品分析经理,102136,"0/102124/102125/102136","产品分析经理,产品分析主管,PRODUCT ANALYSIS MANAGER,PRODUCT ANALYSIS SUPERVISOR"
金融业,通用,基金研究员,102137,"0/102124/102125/102137","基金研究员,FUND RESEARCHER,FUND ANALYST,基金分析师,基金研究助理"
金融业,通用,衍生品研究员,102138,"0/102124/102125/102138","衍生品研究员,DERIVATIVES ANALYST,衍生品研究,衍生品交易,衍生品分析,DERIVATIVES RESEARCH,Derivatives Researcher"
金融业,通用,证券分析师,102139,"0/102124/102125/102139","证券分析师,证券分析,SECURITIES ANALYST,Securities analysts,证券研究"
金融业,通用,行业研究,102140,"0/102124/102125/102140","行业研究,Industry Research"
金融业,通用,行业研究经理,102141,"0/102124/102125/102141","行业研究经理,行业研究主管,行业研究组长,Industry Research Manager"
金融业,通用,贵金属研究员,102142,"0/102124/102125/102142","贵金属研究员,贵金属分析,贵金属研究,Precious Metals Researcher"
金融业,通用,贵金属研究经理,102143,"0/102124/102125/102143","贵金属研究经理,贵金属研究主管,贵金属分析主管,贵金属分析经理,贵金属分析负责人,贵金属研究负责人,贵金属分析管理,Precious Metals Research Manager"
金融业,通用,能源化工研究员,102144,"0/102124/102125/102144","能源化工研究员,能源化工分析,能源化工研究,Energy and Chemical Engineering Researcher"
金融业,通用,需求分析师,102145,"0/102124/102125/102145","需求分析师,需求分析员,需求分析岗,需求分析助理,需求分析顾问,需求分析专家,Requirement Analyst,Requirements Analyst"
金融业,通用,需求分析经理,102146,"0/102124/102125/102146","需求分析经理,需求分析主管,需求分析主任,需求分析管理,需求分析负责人,Requirement Analyst Manager,Requirement Analyst Supervisor,Requirement Analyst Leader,Requirements Analysis Manager"
金融业,通用,可行性研究,102147,"0/102124/102125/102147","可行性研究,Feasibility study"
金融业,通用,量化分析,102151,"0/102124/102125/102151","量化分析,量化分析助理,量化分析员,量化分析师,量化分析专家,量化分析顾问,QUANTITATIVE ANALYST,QUANTITATIVE RESEARCHER,量化研究专家,量化研究顾问,量化研究师,量化研究员,量化研究助理,量化研究,量化投资,量化交易,Quantitative analysis"
金融业,通用,量化分析经理,102152,"0/102124/102125/102152","量化分析经理,量化经理,QUANTITATIVE ANALYST LEAD,QUANTITATIVE ANALYST LEADER,QUANTITATIVE ANALYST MANAGER,QUANTITATIVE ANALYST SUPERVISOR,QUANTITATIVE ANALYST主管,QUANTITATIVE ANALYST经理,QUANTITATIVE ANALYST负责人,QUANTITATIVE ANALYST主任,QUANTITATIVE ANALYST管理,QUANTITATIVE RESEARCHER LEAD,QUANTITATIVE RESEARCHER LEADER,QUANTITATIVE RESEARCHER MANAGER,QUANTITATIVE RESEARCHER SUPERVISOR,QUANTITATIVE RESEARCHER主管,QUANTITATIVE RESEARCHER经理,QUANTITATIVE RESEARCHER负责人,QUANTITATIVE RESEARCHER主任,QUANTITATIVE RESEARCHER管理,量化主任,量化主管,量化管理,量化负责人,量化LEAD,量化LEADER,量化MANAGER,量化SUPERVISOR,Quantitative Analysis Manager"
金融业,通用,策略分析,102153,"0/102124/102125/102153","策略分析,STRATEGY ANALYSIS,策略研究"
金融业,通用,策略分析经理,102154,"0/102124/102125/102154","策略分析经理,STRATEGY ANALYSIS LEADER,STRATEGY ANALYSIS主管,STRATEGY ANALYSIS SUPERVISOR,STRATEGY ANALYSIS LEAD,策略分析主管,STRATEGY ANALYSIS经理,STRATEGY ANALYSIS MANAGER,策略分析SUPERVISOR,策略分析MANAGER,策略分析LEADER,STRATEGY ANALYSIS负责人,策略分析主任,策略研究组长,策略分析组长,策略研究主任,策略研究主管,策略研究经理,Strategic Analysis Manager"
金融业,通用,宏观分析,102155,"0/102124/102125/102155","宏观分析,宏观分析师,宏观分析助理,宏观分析员,MACROECONOMICS ANALYSIS,宏观分析专员,Macro Analysis"
金融业,通用,宏观分析经理,102156,"0/102124/102125/102156","宏观分析经理,MACROECONOMICS ANALYSIS经理,MACROECONOMICS ANALYSIS LEAD,MACROECONOMICS ANALYSIS负责人,MACROECONOMICS ANALYSIS主任,MACROECONOMICS ANALYSIS MANAGER,宏观分析负责人,宏观分析主任,宏观分析SUPERVISOR,MACROECONOMICS ANALYSIS SUPERVISOR,MACROECONOMICS ANALYSIS主管,宏观分析LEAD,MACROECONOMICS ANALYSIS LEADER,宏观分析LEADER,宏观分析主管,宏观分析MANAGER,Macro Analysis Manager"
金融业,通用,反洗钱检测分析,102161,"0/102124/102125/102161","反洗钱检测分析,反洗钱员,反洗钱助理,ANTI MONEY LAUNDERING,反洗钱师,反洗钱岗,AML助理,AML员,AML assistant,AML specialist,ANTI MONEY LAUNDERING assistant,ANTI MONEY LAUNDERING specialist,Anti-money laundering detection and analysis"
金融业,通用,反洗钱检测分析经理,102162,"0/102124/102125/102162","反洗钱检测分析经理,AML LEAD,反洗钱负责人,反洗钱主任,ANTI MONEY LAUNDERING SUPERVISOR,反洗钱LEADER,ANTI MONEY LAUNDERING经理,AML SUPERVISOR,ANTI MONEY LAUNDERING负责人,ANTI MONEY LAUNDERING LEAD,反洗钱主管,反洗钱SUPERVISOR,AML负责人,ANTI MONEY LAUNDERING MANAGER,ANTI MONEY LAUNDERING主任,反洗钱LEAD,反洗钱经理,AML主管,ANTI MONEY LAUNDERING主管,ANTI MONEY LAUNDERING LEADER,AML经理,反洗钱MANAGER,AML主任,AML LEADER,AML MANAGER,反洗钱管理,AML管理,Anti-Money Laundering Detection and Analysis Manager"
